,1,2,3,4,5,6,7,8,9,10
Solver Status,ok,ok,ok,ok,ok,ok,ok,failed,ok,ok
Termination Condition,optimal,optimal,optimal,optimal,optimal,optimal,optimal,infeasible,optimal,optimal
"x[srds,srds_sp,fo_tk,3]",0.0,0.0,0.0,8700.0,0.0,0.0,0.0,0,2800.0,2800.0
"x[srds,srds_sp,fo_tk,4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[srds,srds_sp,fo_tk,5]",2800.0,2800.0,2800.0,0.0,0.0,2800.0,2800.0,0,2800.0,2800.0
"x[srfo,ad,srfo_sp,1]",37200.0,37200.0,37200.0,37200.0,29765.7556689867,37200.0,37200.0,0,37200.0,37200.0
"x[srfo,ad,srfo_sp,2]",37200.0,14760.0884671971,37200.0,37200.0,37200.0,14852.5642345413,37200.0,0,37200.0,37200.0
"x[srfo,ad,srfo_sp,3]",17265.082761507,12892.1473903571,37200.0,37200.0,37200.0,37200.0,17265.082761507,0,37200.0,37200.0
"x[srfo,ad,srfo_sp,4]",37200.0,37200.0,37200.0,37200.0,37200.0,37200.0,37200.0,0,20423.5339778814,19355.2962509173
"x[srfo,ad,srfo_sp,5]",37200.0,37200.0,37200.0,37200.0,37200.0,37200.0,37200.0,0,37200.0,37200.0
"x[srfo,srfo_sp,cc,1]",30000.0,30000.0,30000.0,30000.0,0.0,30000.0,30000.0,0,30000.0,30000.0
"x[srfo,srfo_sp,cc,2]",30000.0,0.0,30000.0,30000.0,30000.0,0.0,30000.0,0,30000.0,30000.0
"x[srfo,srfo_sp,cc,3]",0.0,0.0,30000.0,30000.0,30000.0,30000.0,0.0,0,30000.0,30000.0
"x[srfo,srfo_sp,cc,4]",30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,0,0.0,0.0
"x[srfo,srfo_sp,cc,5]",30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,0,30000.0,30000.0
"x[srfo,srfo_sp,df_tk,1]",0.0,0.0,0.0,0.0,686.359973627189,0.0,0.0,0,0.0,0.0
"x[srfo,srfo_sp,df_tk,2]",0.0,4760.08846719709,0.0,0.0,0.0,4852.56423454128,0.0,0,0.0,0.0
"x[srfo,srfo_sp,df_tk,3]",7265.08276150698,2422.61785643202,0.0,5900.0,0.0,0.0,7265.08276150696,0,0.0,0.0
"x[srfo,srfo_sp,df_tk,4]",0.0,0.0,0.0,528.033492822956,0.0,0.0,0.0,0,10423.5339778814,9355.29625091726
"x[srfo,srfo_sp,df_tk,5]",0.0,0.0,0.0,528.033492822966,528.033492822966,0.0,0.0,0,0.0,0.0
